url,title,status,created_at
https://www.linkedin.com/posts/perclingweld_%C3%A4r-sverige-verkligen-s%C3%A5-d%C3%A5ligt-p%C3%A5-ai-nya-share-7446851727825342464-o6Jx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Sverige bättre på AI än debatten antyder - ledarskap avgör,inbox,2026-04-06T11:34:42.020071+00:00
https://www.linkedin.com/posts/femcornelissen_i-tested-copilot-cowork-this-week-heres-share-7445004489402699776-qXwR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,Test av Microsoft Copilot Cowork - 4 lärdomar,inbox,2026-04-02T14:30:02.089665+00:00
image://1774780733033,15 AI Agent Design Patterns för Production Systems,inbox,2026-03-29T10:38:54.542251+00:00
image://1774626784035,AI-adoption workshop och transformationsfrågor i Sverige,inbox,2026-03-27T15:53:05.578978+00:00
image://1774262004587,AI workspace system för bättre ChatGPT/Claude resultat,inbox,2026-03-23T10:33:27.192016+00:00
image://1772831894968,AI för projektledare - guide för bättre frågor och beslut,inbox,2026-03-06T21:18:16.338332+00:00
image://1772831789149,Anthropic lanserar gratis AI-utbildning med 13 kurser,inbox,2026-03-06T21:16:30.076629+00:00
https://medium.com/@ogradyliam5/send-teams-messages-on-behalf-of-your-copilot-studio-agent-32ed4ec4ddc6,Skicka Teams-meddelanden genom din Copilot Studio Agent,inbox,2026-03-03T21:01:46.138681+00:00
https://www.linkedin.com/posts/andersbjarby_visste-du-att-man-kan-skapa-skills-i-claude-ugcPost-7432084592058269696-g15f?utm_medium=ios_app&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0&utm_source=social_share_send&utm_campaign=copy_link,Anders Bjarby Skills,inbox,2026-03-03T18:43:29.496668+00:00
https://www.linkedin.com/posts/femcornelissen_ai-agents-are-powerful-but-power-without-share-7433455452253753344-c_qx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,AI Agent Governance - Säker skalning av Agentic AI,inbox,2026-03-03T07:39:52.677092+00:00
https://skillsmp.com/?fbclid=IwdGRjcAQPVxlleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEev7151k_lr8PuansjSz_zlALLjsTmaS9V4b4w4bnSWVrV5Kj3cZVvMDYNKDE_aem_23Ru1BDGK5R2IdALhTSzUQ,Agent Skills Marketplace - 280k+ Skills för AI-assistenter,inbox,2026-02-28T05:06:38.170397+00:00
image://1772127693600,Boris Chernys kompletta Claude Code setup - en fil att dra in,inbox,2026-02-26T17:41:34.904345+00:00
image://1772127134823,Microsoft AI-verktyg: Copilot 365 vs Studio vs Azure AI,inbox,2026-02-26T17:32:15.829468+00:00
https://www.augmentedswe.com/p/claude-skills?utm_source=substack&utm_medium=email,Claude Skills 101: Bygg din första AI-färdighet på 20 min,inbox,2026-02-25T05:30:58.638941+00:00
https://www.facebook.com/share/1BJtvZYobi/?mibextid=wwXIfr,Facebook inloggningssida,inbox,2026-02-24T13:18:59.969002+00:00
https://www.facebook.com/share/17HmbLUDMd/?mibextid=wwXIfr,Facebook inloggningssida,inbox,2026-02-24T13:18:43.878988+00:00
https://www.facebook.com/share/p/1GmLUFQti9/?mibextid=wwXIfr,Effektiva workflows för Claude Code-utveckling,inbox,2026-02-22T05:51:01.276199+00:00
https://tldr.tech/?utm_source=facebook-TF&utm_medium=paid-social&utm_campaign=Testing_Tech_Subscribers_2ndCountries_CostCap&utm_content=Min-2/19/26-Illustration-Midjourney-Static-Feb26-Adv+Broad-21to54-MultiplePlacements-FBIGThreadsMessenger-Tech-2nd&utm_term=Peaceful+Split+Screen_Tech+News+in+5+Minutes_Logo_Woman_Illustration_Painterly+Digital_GenAI_Midjourney_Color+Visual_Static_Simplicity+Efficiency+Pillar_2/19/2026_Feb26&utm_placement=Facebook_Mobile_Feed&fbclid=IwdGRjcAQHeExleHRuA2FlbQEwAGFkaWQBqy58roafmHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5XjILGlUOtb57lzIVREGOl2ME5RR2pRY1YVTdOl8axdwayniZe-OQYnzGcTQ_aem_FLl9lZtvq3HHS4TuGY3NhQ&utm_id=120235290512240776,TLDR - Daglig tech-nyhetsbrev på 5 minuter,inbox,2026-02-22T05:50:12.921615+00:00
image://1771702287535,LinkedIn-inlägg om förändring och utveckling av förändringsförmåga,inbox,2026-02-21T19:31:41.67371+00:00
image://1771667211608,CoCoCo - Copilot Community Conference 14 april,inbox,2026-02-21T09:46:54.403107+00:00
https://www.facebook.com/share/1EXuWQMq8D/?mibextid=wwXIfr,Facebook-sida (ej tillgänglig),inbox,2026-02-20T12:02:52.412796+00:00
image://1771530458455,David Stiernholm om Microsoft 365 apps och produktivitet,inbox,2026-02-19T19:47:44.711289+00:00
https://www.linkedin.com/feed/update/urn:li:groupPost:3617206-7429570949349429249?utm_source=share&utm_medium=member_ios&rcm=ACoAAAB0l-gBDljyNp_zeatuSI-nIqqharzZNJ0,LinkedIn 404-felsida,inbox,2026-02-19T19:35:11.431331+00:00
image://1771529555582,Microsoft Copilot Cheat Sheet - Feb 2026 Edition,inbox,2026-02-19T19:32:41.377308+00:00
https://www.linkedin.com/pulse/aligna-eller-snubbla-i-framtiden-simon-str%C3%A5lberg-khltf?utm_source=share&utm_medium=member_ios&utm_campaign=share_via,"Aligna, eller snubbla in i framtiden?",inbox,2026-02-19T19:31:03.011808+00:00
image://1771529320250,Per Clingweld om AI:s påverkan på arbetsmarknaden,inbox,2026-02-19T19:28:41.485984+00:00
https://davidpba.myflodesk.com/s11ai4hfcg,Introduction to M365 Copilot - Free Webinar,inbox,2026-02-19T19:23:56.467788+00:00
image://1771528870359,Microsoft Copilot produktivitetstips - djupare användning 2026,inbox,2026-02-19T19:21:11.830941+00:00
https://SvD.se,Svenska Dagbladets startsida med dagens nyheter,inbox,2026-02-18T20:18:17.985495+00:00
image://1771332077145,Microsoft Teams Facilitator agent - produktivitetstips,inbox,2026-02-17T12:41:23.758244+00:00
https://docs.google.com/document/d/1HnUA4JyaoGustOytATG1ZlsPrhFRRglr94BsmIq6jfc/mobilebasic,Agentalism och människans evolutionära framtid,inbox,2026-02-16T20:13:03.640287+00:00
https://www.linkedin.com/pulse/introduction-m365-copilot-free-webinar-march-3rd-2026-fortin-cpa-zk6ue?utm_source=share&utm_medium=member_ios&utm_campaign=share_via,Introduction to M365 Copilot - Free Webinar,inbox,2026-02-16T20:10:56.354745+00:00
image://1771159641767,Copilot Coffee Break - Gratis guide och YouTube-videor,inbox,2026-02-15T12:47:28.158452+00:00
https://lnkd.in/e_bfZy_c,YouTube-video via LinkedIn-länk,inbox,2026-02-14T11:44:50.101665+00:00
https://Di.se,Dagens industri - Nordens största affärstidning,inbox,2026-02-13T12:56:11.510264+00:00
